fecha,hora,Equipo,resultado,equipo
2023-11-11,18:30:00,Unicaja Costa de Almeria ,3 - 0,CV San Roque
2023-11-11,19:00:00,Cisneros Alter Tenerife ,3 - 1,Volei Villena Petrer
2023-11-11,19:30:00,Grupo Herce Soria ,3 - 2,Club Voley Palma
2023-11-11,18:00:00,Conectabalear CV Manacor ,3 - 1,UPV Leleman Conqueridor
2023-11-11,19:45:00,Arenal Emeve ,3 - 1,Pamesa Teruel Voleibol
2023-11-15,19:00:00,CV Guaguas ,3 - 1,CV Melilla
2023-11-19,17:00:00,CV Melilla ,0 - 3,Unicaja Costa de Almeria
2023-11-18,18:30:00,Pamesa Teruel Voleibol ,0 - 3,CV Guaguas
2023-11-18,18:30:00,UPV Leleman Conqueridor ,2 - 3,Arenal Emeve
2023-11-18,19:00:00,Club Voley Palma ,1 - 3,Conectabalear CV Manacor
2023-11-18,19:00:00,Volei Villena Petrer ,1 - 3,Grupo Herce Soria
2023-11-19,12:00:00,CV San Roque ,2 - 3,Cisneros Alter Tenerife
2023-11-25,18:30:00,Unicaja Costa de Almeria ,3 - 0,Cisneros Alter Tenerife
2023-11-25,19:30:00,Grupo Herce Soria ,3 - 1,CV San Roque
2023-11-25,18:00:00,Conectabalear CV Manacor ,3 - 0,Volei Villena Petrer
2023-11-25,17:00:00,Arenal Emeve ,1 - 3,Club Voley Palma
2023-11-25,18:30:00,CV Guaguas ,3 - 0,UPV Leleman Conqueridor
2023-11-25,19:30:00,CV Melilla ,3 - 0,Pamesa Teruel Voleibol
2023-12-02,18:30:00,Unicaja Costa de Almeria ,0 - 0,Pamesa Teruel Voleibol
2023-12-02,18:30:00,UPV Leleman Conqueridor ,0 - 0,CV Melilla
2023-12-02,19:00:00,Club Voley Palma ,0 - 0,CV Guaguas
2023-12-02,19:00:00,Volei Villena Petrer ,0 - 0,Arenal Emeve
2023-12-03,11:30:00,CV San Roque ,0 - 0,Conectabalear CV Manacor
2023-12-02,19:00:00,Cisneros Alter Tenerife ,0 - 0,Grupo Herce Soria
2023-12-09,19:30:00,Grupo Herce Soria ,0 - 0,Unicaja Costa de Almeria
2023-12-09,19:30:00,Conectabalear CV Manacor ,0 - 0,Cisneros Alter Tenerife
2023-12-09,19:30:00,Arenal Emeve ,0 - 0,CV San Roque
2023-12-09,18:30:00,CV Guaguas ,0 - 0,Volei Villena Petrer
2023-12-09,19:30:00,CV Melilla ,0 - 0,Club Voley Palma
2023-12-09,19:30:00,Pamesa Teruel Voleibol ,0 - 0,UPV Leleman Conqueridor
2023-12-16,18:30:00,UPV Leleman Conqueridor ,0 - 0,Unicaja Costa de Almeria
2023-12-16,18:30:00,Pamesa Teruel Voleibol ,0 - 0,Club Voley Palma
2023-12-17,17:00:00,CV Melilla ,0 - 0,Volei Villena Petrer
2023-12-16,18:30:00,CV Guaguas ,0 - 0,CV San Roque
2023-12-16,17:00:00,Arenal Emeve ,0 - 0,Cisneros Alter Tenerife
2023-12-16,18:00:00,Conectabalear CV Manacor ,0 - 0,Grupo Herce Soria
2024-01-06,18:30:00,Unicaja Costa de Almeria ,0 - 0,Conectabalear CV Manacor
2024-01-06,19:30:00,Grupo Herce Soria ,0 - 0,Arenal Emeve
2024-01-07,12:00:00,Cisneros Alter Tenerife ,0 - 0,CV Guaguas
2024-01-07,12:00:00,CV San Roque ,0 - 0,CV Melilla
2024-01-06,19:00:00,Volei Villena Petrer ,0 - 0,Pamesa Teruel Voleibol
2024-01-06,19:00:00,Club Voley Palma ,0 - 0,UPV Leleman Conqueridor
2024-01-13,19:00:00,Club Voley Palma ,0 - 0,Unicaja Costa de Almeria
2024-01-13,18:30:00,UPV Leleman Conqueridor ,0 - 0,Volei Villena Petrer
2024-01-13,18:30:00,Pamesa Teruel Voleibol ,0 - 0,CV San Roque
2024-01-14,17:00:00,CV Melilla ,0 - 0,Cisneros Alter Tenerife
2024-01-13,18:30:00,CV Guaguas ,0 - 0,Grupo Herce Soria
2024-01-13,19:45:00,Arenal Emeve ,0 - 0,Conectabalear CV Manacor
2024-01-20,18:30:00,Unicaja Costa de Almeria ,0 - 0,Arenal Emeve
2024-01-20,18:00:00,Conectabalear CV Manacor ,0 - 0,CV Guaguas
2024-01-20,19:30:00,Grupo Herce Soria ,0 - 0,CV Melilla
2024-01-20,19:00:00,Cisneros Alter Tenerife ,0 - 0,Pamesa Teruel Voleibol
2024-01-21,12:00:00,CV San Roque ,0 - 0,UPV Leleman Conqueridor
2024-01-20,19:00:00,Volei Villena Petrer ,0 - 0,Club Voley Palma
2024-01-27,19:00:00,Volei Villena Petrer ,0 - 0,Unicaja Costa de Almeria
2024-01-27,19:00:00,Club Voley Palma ,0 - 0,CV San Roque
2024-01-27,18:30:00,UPV Leleman Conqueridor ,0 - 0,Cisneros Alter Tenerife
2024-01-27,18:30:00,Pamesa Teruel Voleibol ,0 - 0,Grupo Herce Soria
2024-01-28,17:00:00,CV Melilla ,0 - 0,Conectabalear CV Manacor
2024-01-27,18:30:00,CV Guaguas ,0 - 0,Arenal Emeve
2024-02-03,18:30:00,Unicaja Costa de Almeria ,0 - 0,CV Guaguas
2024-02-03,17:30:00,Arenal Emeve ,0 - 0,CV Melilla
2024-02-03,18:00:00,Conectabalear CV Manacor ,0 - 0,Pamesa Teruel Voleibol
2024-02-03,19:30:00,Grupo Herce Soria ,0 - 0,UPV Leleman Conqueridor
2024-02-03,19:00:00,Cisneros Alter Tenerife ,0 - 0,Club Voley Palma
2024-02-03,19:00:00,CV San Roque ,0 - 0,Volei Villena Petrer
2024-02-11,12:00:00,CV San Roque ,0 - 0,Unicaja Costa de Almeria
2024-02-10,19:00:00,Volei Villena Petrer ,0 - 0,Cisneros Alter Tenerife
2024-02-10,19:00:00,Club Voley Palma ,0 - 0,Grupo Herce Soria
2024-02-10,18:30:00,UPV Leleman Conqueridor ,0 - 0,Conectabalear CV Manacor
2024-02-10,18:30:00,Pamesa Teruel Voleibol ,0 - 0,Arenal Emeve
2024-02-11,17:00:00,CV Melilla ,0 - 0,CV Guaguas
2024-02-24,18:30:00,Unicaja Costa de Almeria ,0 - 0,CV Melilla
2024-02-24,18:30:00,CV Guaguas ,0 - 0,Pamesa Teruel Voleibol
2024-02-24,17:30:00,Arenal Emeve ,0 - 0,UPV Leleman Conqueridor
2024-02-24,18:00:00,Conectabalear CV Manacor ,0 - 0,Club Voley Palma
2024-02-24,19:30:00,Grupo Herce Soria ,0 - 0,Volei Villena Petrer
2024-02-24,18:00:00,Cisneros Alter Tenerife ,0 - 0,CV San Roque
2024-03-02,19:00:00,Cisneros Alter Tenerife ,0 - 0,Unicaja Costa de Almeria
2024-03-03,12:00:00,CV San Roque ,0 - 0,Grupo Herce Soria
2024-03-02,19:00:00,Volei Villena Petrer ,0 - 0,Conectabalear CV Manacor
2024-03-02,19:00:00,Club Voley Palma ,0 - 0,Arenal Emeve
2024-03-02,18:30:00,UPV Leleman Conqueridor ,0 - 0,CV Guaguas
2024-03-02,18:30:00,Pamesa Teruel Voleibol ,0 - 0,CV Melilla
2024-03-09,19:30:00,Pamesa Teruel Voleibol ,0 - 0,Unicaja Costa de Almeria
2024-03-09,19:30:00,CV Melilla ,0 - 0,UPV Leleman Conqueridor
2024-03-09,18:30:00,CV Guaguas ,0 - 0,Club Voley Palma
2024-03-09,19:30:00,Arenal Emeve ,0 - 0,Volei Villena Petrer
2024-03-09,19:30:00,Conectabalear CV Manacor ,0 - 0,CV San Roque
2024-03-09,19:30:00,Grupo Herce Soria ,0 - 0,Cisneros Alter Tenerife
2024-03-16,19:30:00,Unicaja Costa de Almeria ,0 - 0,Grupo Herce Soria
2024-03-16,18:30:00,Cisneros Alter Tenerife ,0 - 0,Conectabalear CV Manacor
2024-03-16,18:30:00,CV San Roque ,0 - 0,Arenal Emeve
2024-03-16,19:30:00,Volei Villena Petrer ,0 - 0,CV Guaguas
2024-03-16,19:30:00,Club Voley Palma ,0 - 0,CV Melilla
2024-03-16,19:30:00,UPV Leleman Conqueridor ,0 - 0,Pamesa Teruel Voleibol
