,Equipo,id_equipo,informacion
10,Conqueridor Valencia,11,"
Datos de contacto:

PM Benicalap Sur
Castellonet de la Conquesta 18
Valencia

El Club Voleibol Valencia es un club de voleibol con sede en el barrio de Benicalap de la ciudad de Valencia, España. Fue fundado el 15 de octubre de 1985. Su primer equipo masculino juega en la Superliga Masculina, la máxima competición del voleibol en España, y su equipo femenino juega en la Superliga 2 Femenina, la competición de plata del voleibol en España, y disputan sus encuentros como local en el Pabellón de Benicalap Sur. Se le conoce como Club Voleibol Valencia."
11,CV Villena Petrer,12,"
Datos de contacto:

Tlf:  618 18 51 72

Email: infosdvp@gmail.com | clubvoleyvillena@gmail.com

Pabellón Gedeón e Isaias Guardiola Rico
Avenida Reina Sofía, s/n
03610 - Petrer   Alicante

El CV Villena y el Santo Domingo Petrer unieron sus fuerzas en 2020 para pelear con garantías en Superliga 2 y tres años después han encontrado premio con un ascenso que no entraba en casi ninguna quiniela y que ha hecho historia en ambas ciudades.
El Cableworld Villena Petrer será, el próximo año, el segundo equipo de la Comunitat Valenciana que milite en la Superliga, categoría en la que ya está el Leleman Conqueridor Valencia, que ha firmado un gran año al disputar la Copa y los playoffs por el título."
12,Barca Voleibol,13,"
Datos de contacto:

Tlf:  678589700 | 934967612

Email: voleibol@fcbarcelona.cat

Pabellón La Salle Bonanova
Carrer de Sant Joan de la Salle 20
08022 - Barcelona 

El Club Voleibol Barcelona-Barça es un club de voleibol femenino asociado como sección del Fútbol Club Barcelona. Actualmente compite en Superliga 2. Fundado en 1994, constituye un referente del voleibol femenino español, con innumerables éxitos a nivel catalán en todas las categorías, 7 campeonatos de base estatales, 11 temporadas en la Superliga Femenina y 2 participaciones en Copas de Europa."
13,Rotogal Boiro,14,"
Datos de contacto:

Tlf:  629824957 | 981132959

Email: boirovoleibol@hotmail.com

Pabellón A Cachada
Avda. Constitución, s/n
Boiro   Galicia

El Cabo de Cruz Boiro Voleibol es un equipo de voleibol de Boiro de la provincia de La Coruña en Galicia. Fue fundado en 1991 y actualmente cuenta con un equipo en Superliga Masculina.
Desde la temporada 2013/14 el equipo se convirtió en un asiduo en la Superliga Masculina 2 llegando a participar en varias ocasiones en la Copa Príncipe y en fases de ascenso, pero no fue hasta el año 2020 cuando conseguiría el ansiado ascenso a la máxima categoría del voleibol español. "
14,Voley Textil Santanderina,15,"
Datos de contacto:

Tlf:  667 522 149.

Email: voleytextil@gmail.com

Pabellón Municipal Cabezón de la Sal
Tresano, 13
Cabezón de la Sal   Cantabria

El club se funda en 1974 para fomentar el voleibol desde la base. Lo hace en la pequeña localidad de Cabezón de la Sal. En 1975 el club pasa a estar federado a partir de la base de voleibol existente en el Colegio Igareda y jugadores procedentes del Torrelavega OJE. El profesor de Educación Física, D. Antonino Pellón Fernández, fue su fundador y primer presidente, cargo en el que estuvo durante varios años. Desde la temporada 1984-85 hasta la temporada 1992-93 estuvo en el cargo el exjugador Fernando Gutiérrez Díaz al cual sustituyó el también exjugador José Manuel Alonso García. Desde el inicio realizaba las funciones de Delegado del Club Luis Andrés de Ceballos Alzaga."
15,Intasa,16,"
Datos de contacto:

Tlf:  630288080 | 981490286

Email: cobelao@hotmail.com | aldebaranvoleibol@hotmail.com

P.M. de San Sadurniño
Avda. Marqués de Figueroa, s/n
San Sadurniño   Galicia
"
16,Ibiza Voley,17,"
Datos de contacto:

Tlf:  699561553 | 971193900

Email: javier@enotecum.com | cveivissa@hotmail.com

Poliesportiu Sa Blanca Dona
Carrer Cas Raspallar, S 15, 5
07800 - Eivissa 

El Club Voleibol Ibiza fue fundado en el año 2005 con una clara vocación de formación de jugadores en la base. Con el tiempo fueron capaces de ir ascendiendo hasta que en la temporada 2011/12 el equipo consiguió una plaza en Superliga, situando a Ibiza en la primera línea del voleibol nacional."
17,Grau,18,"
Datos de contacto:

Tlf:  687978880 | 964565477

Email: lillagrau@gmail.com 

Ciutat Esportiva
Cuadra Colomera, 9
Castellón   Castellón

El Atlético Grau fue fundado un 5 de junio de 1919 bajo el nombre de Club Miguel Grau, según consta en actas y a pedido de quien se considera fundador, Guillermo Herrera. El hecho tuvo lugar en el domicilio de don Juan Seminario Vinces, en la calle Tacna de Piura, frente a la casona donde naciera don Miguel Grau Seminario, a las 9 de la noche. Don José Erquiaga fue su primer presidente. El club es uno de los fundadores de la Liga Provincial de Fútbol de Piura el 22 de febrero de 1922, participando desde entonces en los campeonatos de selección y competencia, como antaño se denominaba a los torneos oficiales."
18,Voleibol Almoradi,19,"
Datos de contacto:

Tlf:  

Email: almoradivoley@hotmail.es

Pabellón Mayte Andreu
Ciudad Deportiva Ctra Almoradí
03160 - Almoradí   Comunidad Valenciana

El equipo fue fundado en el año 1967 en la ciudad de Almoradí.1​2​ El club compitió durante los años 70 y 80 en ligas regionales y autonómicas, hasta llegar finalmente a categorías de ámbito nacional y establecerse en la extinguida Liga FEV, donde se consolidó a finales de los noventa y destacó notablemente a principios de los 2000."
19,Vecindario Las Palmas,20,"
Datos de contacto:

Tlf:  928124774 | 680979703

Email: fsanchezj@laspalmasgc.es | info@cv7islas.net

P.M. Vecindario
Av. Tirajanas, s/n
Vecindario   Las Palmas

El club nació en el municipio de Telde (Las Palmas) en el año 1999, donde estuvo su sede hasta el año 2004 en que se trasladó a la localidad de Vecindario. A lo largo de estos años también ha variado su denominación por cuestiones de patrocinio: Compaktuna 7 Islas, Compaktuna U.D. Vecindario, C.C. La Ballena Vecindario y por último la ya citada de Vecindario ACE Gran Canaria."
